prod_value,markup_value
"Клиент: Здравствуйте, у меня не проходит опл карт в магазине.
Оператор: Поним Скажите, пожалуйста в каком именно магазине возникла ошибка?
Клиент: В супермаркете около дома, терминал пишет 'отказано'.
Оператор: Вижу, что карта активна. Попробуйте, пожалуйста, повтор опла или воспользоваться банкома рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: Добрый вечер, хочу оформ вклад.
Оператор: Подскажите, пожалуйста, сумму, которую вы планируете разместить.
Клиент: Примерно 300 тысяч рублей.
Оператор: У нас есть предложение с процентной ставкой 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Здравствуйте, мне нужно заблокировать карту, я её потерял.
Оператор: Понимаю вашу ситуацию. Назовите последние четыре цифры карты.
Клиент: 3456.
Оператор: Карта заблокирован перевыпуск возможен через приложение или в офисе.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: Здравствуйте, у меня не проходит оплата кар в магазин
Оператор: Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка?
Клиент: В супермаркете око дом терминал пишет 'отказан
Оператор: Ви чт карта актив Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: Добрый день, хочу узнать остаток по кредиту.
Оператор: Конечно, подскажите дату рождения для идентификации.
Клиент: 10 мая 1987 года.
Оператор: Спасибо. Остаток по кредиту составляет 125 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Здравствуйте, у меня не проходит оплата картой в магазине.
Клиент: В супермаркете около дома, терминал пишет 'отказано'.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: У меня не получается вой в мобильное приложение.
Оператор: Понимаю. Какая именно ошибка отображается
Клиент: Пишет 'неверный пароль'.
Оператор: В таком случае вам нужно восстановить пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Оператор: Конечно, подскажите дату рождения для идентификац
Оператор: Спасибо. Остаток по кредиту составляет 1 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Здравствуйте, у меня н проходит оплата картой в магазине.
Оператор: Понимаю. Скажите, пожалуйст в како именно магазине возникла ошибка?
Клиент: В супермаркете около дома, термин пишет 'отказано'.
Оператор: Вижу, что карт активна. Попробуйт пожалуйста, повторить опла или воспользоваться банкома рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: Здравствуйте, у ме не прохо оплат картой в магазине.
Оператор: Понима Скажите, пожалуйста, в каком именно магази возникла ошибка?
Клиент: В супермаркете около дома, термин пишет 'отказано
Оператор: Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: Здравствуйте, мне нужно заблокировать карту, я её потеря
Клиент: 3456.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: Добрый де хочу узнать остат по кредиту.
Оператор: Конечно, подскажите дату рождения для идентификации.
Клиент: 10 мая 1987 год
Оператор: Спаси Остаток по кредиту составляет 125 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Добрый день, хочу узнать остаток по кредиту.
Оператор: Конечно, подскажите дату рождения для идентификаци
Клиент: 10 мая 1987 года.
Оператор: Спасиб Остато по кредиту составля 125 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Здравствуйте мне нужно заблокировать карту, я её потер
Оператор: Пони вашу ситуацию. Назовите последние четыре цифры карты.
Клиент: 3456.
Оператор: Карта заблокирована, перевыпуск возможен через приложение или в офисе.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: Добрый день, хочу узнать остаток по кредиту.
Оператор: Конечно, подскажите да рождения для идентификации.
Клиент: 10 мая 1987 года.
Оператор: Спасибо. Остаток п кредиту составляет 125 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Здравствуйте, мне нужно заблокировать карту, я е потеря
Оператор: Понимаю вашу ситуацию. Назовите последн четыре цифры карты.
Клиент: 3456.
Оператор: Карт заблокирована, перевыпуск возможе через приложение или в офисе.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: У меня не получается войти в мобильное приложение.
Оператор: Понимаю. Ка именно оши отображается?
Клиент: Пише 'неверный пароль'.
Оператор: В таком случ ва нужно восстановить пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Добр день, хочу узнать остаток по кредит
Оператор: Конечно, подскажите дату рождения для идентификации.
Клиент: 10 мая 1987 года.
Оператор: Спасибо Остаток по кредиту составляет 125 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: У меня не получается войти в мобильное приложение.
Клиент: Пишет 'неверный парол",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Добрый вечер, хочу оформить вкла
Клиент: Примерно 300 тыс рублей.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Здравствуйте, у меня не проходит оплата картой в магазине
Оператор: Понимаю. Скажите, пожалуйста, в каком именно магазин возник ошибка
Клиент: В супермаркете ок дома, терминал пишет 'отказано'.
Оператор: Вижу, чт карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоват банкоматом рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Оператор: Конечно, подскажите дату рождения для идентификации.
Оператор: Спасибо. Остаток по кредиту составляет 125 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Добрый день, хочу узнать остаток по кредиту.
Оператор: Конечно, подскажите дату рождения для идентификации.
Клиент: 10 мая 1987 года.
Оператор: Спасибо. Оста по кредиту составляет 125 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Оператор: Подскажи пожалуйста, сумму, которую вы планируете разместить.
Оператор: У нас есть предложение с процентн ставкой 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Добрый вечер, хочу оформить вклад.
Оператор: Подскажите, пожалуйста сумму, котору вы планируете разместить.
Клиент: Примерно 30 тысяч рублей.
Оператор: У н есть предложение с процентной став 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Добрый вечер, хочу оформить вклад.
Клиент: Примерно 300 тысяч рублей.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: У меня н получается вой в мобильное приложение.
Оператор: Понимаю. Какая именно ошибка отображается?
Клиент: Пишет 'неверны парол
Оператор: В таком случае вам ну восстановить пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Здравствуйте, у меня не проходит опла картой в магазине.
Оператор: Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка?
Клиент: В супермаркете около дома, терминал пишет 'отказано'.
Оператор: Виж что карта активна Попробуйте, пожалуйста, повторить оплату или воспользоваться банкомат рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: Добрый вечер, х оформить вклад.
Оператор: Подскажите, пожалуйста, сумму, которую вы планируете разместить
Клиент: Примерно 300 тысяч рублей.
Оператор: У нас есть предложение с процентно ставкой 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Здравствуйте, у меня не проход оплата картой в магазин
Оператор: Поним Скажите, пожалуйста, в каком именно магазине возни ошибка?
Клиент: В супермаркет около дома, терминал пишет 'отказано'.
Оператор: Вижу, что карта активна. Попробуйте пожалуйста, повторить опла или воспользоваться банкоматом рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: Здравствуйте, мн нуж заблокироват карту, я её потерял.
Оператор: Понимаю вашу ситуацию. Назов последние четыре цифры карты.
Клиент: 345
Оператор: Карта заблокирована, перевыпуск возможен че приложение или в офисе.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: Добрый вечер, хочу оформить вклад.
Оператор: Подскажите, пожалуйс сумму, которую вы планируете разместит
Клиент: Примерно 3 тысяч рублей.
Оператор: У нас есть предложен с процентной ставкой 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Здравствуйте, м нужно заблокировать карту, я её потерял.
Клиент: 3456.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: Добры день, хочу узнать остаток по кредиту.
Оператор: Конечно, подскажите дату рождения дл идентификации.
Клиент: 10 ма 1987 года.
Оператор: Спасибо. Остат по кредиту составляет 125 тыся рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Добрый вечер, хочу оформить вклад.
Оператор: Подскажит пожалуйста, сумму, которую вы планируете разместить.
Клиент: Примерно 300 тысяч рублей.
Оператор: У нас есть предложение с процентной ставкой 9 годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Оператор: Понимаю. Какая именно оши отображается?
Оператор: В таком случае вам нужно восстановить пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: У меня не получается войти в мобильное приложение.
Оператор: Понимаю. Какая именно ошибка отображаетс
Клиент: Пишет 'неверный пароль'.
Оператор: В таком случае вам нужно восстановить пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: У меня не получае войти в мобильное приложен
Оператор: Понимаю Какая именно ошибка отображается?
Клиент: Пишет 'неверный пароль
Оператор: В таком случае вам нужно восстановить пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: У меня не получается войти в мобильное приложени
Оператор: Понимаю. Какая именно ошибка отображается?
Клиент: Пи 'неверны пароль'.
Оператор: В таком случае вам нужно восстановить паро че SM",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Доб день, хочу узнать остат п кредиту
Оператор: Конечно, подскажите дату рождения для идентификации.
Клиент: 10 мая 1987 го
Оператор: Спасиб Остаток по кредиту составляет 125 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Здравствуйте, мне нужно заблокировать карту, я её потерял.
Оператор: Понимаю вашу ситуацию. Назовите последние четы цифры карты.
Клиент: 3456.
Оператор: Карта заблокирована, перевыпуск возможен через приложени или в офисе.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
